Id,Nome,Descriçao,Quantidade,Localização Casa,Foto,Tem Interesse
767,moedor carne,1 moedor de carne,1,cozinha,NA,NA
768,espremedor,espremedor de inox manual (suco),1,cozinha,NA,NA
769,espremedor,espremedor de alumínio manual,1,cozinha,NA,NA
770,rolo,2 rolos de madeira,2,cozinha,NA,NA
771,coadores plástico,5 coadores de plástico,5,cozinha,NA,NA
772,coador alumínio,coador alumínio,1,cozinha,NA,NA
773,ralador,4 raladores alumínio,4,cozinha,NA,NA
774,tabuleiros,8 tabuleiros alumínio,8,cozinha,NA,NA
775,formas empadinha,formas de empadinhas,NA,cozinha,NA,NA
776,latas alumínio,7 latas alumínio (2 estão na dispensa),7,cozinha,NA,NA
777,bacia plástico,1 bacia de plástico vermelha,1,cozinha,NA,NA
778,talheres cozinha,talheres de cozinha diversas,1,cozinha,NA,NA
779,latas alumínio,latas alumínio,NA,cozinha,NA,NA
780,bacias alumínio,2 bacias de alumínio,2,cozinha,NA,NA
781,bacia plástico,bacia plástico azul,1,cozinha,NA,NA
782,panelas,1 panela alumínio 1 panela ferro,2,cozinha,NA,NA
783,baldes,2 baldes plástico,2,cozinha,NA,NA
784,banco madeira,banco pequeno madeira,1,dispensa,NA,NA
785,máquina lavar roupa,máquina lavar roupa 11kg brastemp,1,área serviço,NA,NA
786,panelas,2 panelas grandes,2,churrasqueira,NA,NA
787,assadeiras,2 assadeiras redondas,4,churrasqueira,NA,NA
788,caneca,caneca alumínio,1,churrasqueira,NA,NA
789,moedor carne,moedor de carne,1,churrasqueira,NA,NA
790,panela ferro,panela de ferro,1,churrasqueira,NA,NA
791,panela alumínio,panela alumínio,1,churrasqueira,NA,NA
792,panela alumínio,panela alumínio,1,churrasqueira,NA,NA
